,full_name,rating,team,position,height,weight,salary
430,Giannis Antetokounmpo,97,Milwaukee Bucks,F-G,83,242 ,$27528088
431,Kawhi Leonard,96,Los Angeles Clippers,F,79,225 ,$34379100
432,James Harden,96,Brooklyn Nets,G,77,220 ,$41254920
433,Stephen Curry,95,Golden State Warriors,G,75,185 ,$43006362
434,Kevin Durant,95,Brooklyn Nets,F,82,230 ,$42018900
435,Anthony Davis,95,Los Angeles Lakers,F-C,82,222 ,$32742000
436,Luka Doncic,94,Dallas Mavericks,G-F,79,227 ,$8049360
437,Damian Lillard,94,Portland Trail Blazers,G,74,195 ,$31626953
438,Joel Embiid,91,Philadelphia 76ers,C,84,250 ,$29542010 
439,Stephen Curry,96,Golden State Warriors,G,75,185 ,$45780966
440,Kevin Durant,96,Brooklyn Nets,F,82,230 ,$40918900
441,LeBron James,96,Los Angeles Lakers,F,81,250 ,$41180544
442,Giannis Antetokounmpo,96,Milwaukee Bucks,F-G,83,242 ,$39344900
443,Nikola Jokic,95,Denver Nuggets,C,84,253 ,$31044906
444,Joel Embiid,95,Philadelphia 76ers,C,84,250 ,$31579390
445,Kawhi Leonard,95,Los Angeles Clippers,F,79,225 ,$39344900
446,Luka Doncic,94,Dallas Mavericks,G-F,79,227 ,$10174391
447,Damian Lillard,94,Portland Trail Blazers,G,74,195 ,$39344900
448,James Harden,94,Brooklyn Nets,G,77,220 ,$44310840
449,Paul George,90,Los Angeles Clippers,F,80,210 ,$35450412
450,Nikola Jokic,90,Denver Nuggets,C,84,253 ,$29542010 
451,Kyrie Irving,90,Brooklyn Nets,G,74,180 ,$33722850
452,Karl-Anthony Towns,90,Minnesota Timberwolves,F-C,83,248 ,$29467800
453,Klay Thompson,89,Golden State Warriors,G,78,205 ,$35361360
454,Jimmy Butler,89,Miami Heat,G,79,220 ,$34379100
455,Trae Young,88,Atlanta Hawks,G,73,180 ,$6571800
456,Russell Westbrook,88,Houston Rockets,G,75,190 ,$41358814
457,Pascal Siakam,88,Toronto Raptors,F,81,227 ,$30559200
458,Donovan Mitchell,88,Utah Jazz,G,73,211 ,$5195501
459,Chris Paul,88,Oklahoma City Thunder,G,73,175 ,$41358814
460,Bradley Beal,88,Washington Wizards,G,75,207 ,$28751774
461,Rudy Gobert,87,Utah Jazz,C,85,238 ,$27525281
462,Kyle Lowry,87,Toronto Raptors,G,72,205 ,$30500000
463,Kristaps Porzingis,87,Dallas Mavericks,F-C,87,220 ,$29467800
