player,age,team,position,ppg,assists_per_game,rebounds_per_game,min_per_game
Dwayne Bacon,24,CHO,SG,5.7,1.3,2.6,17.6
Bol Bol,20,DEN,PF,5.7,0.9,2.7,12.4
Talen Horton-Tucker,19,LAL,SG,5.7,1,1.2,13.5
Darius Bazley,19,OKC,PF,5.6,0.7,4,18.5
Damian Jones,24,ATL,C,5.6,0.6,3.7,16.1
Jalen McDaniels,22,CHO,SF,5.6,0.8,4.1,18.3
Jakob Poeltl,24,SAS,C,5.6,1.8,5.7,17.7
John Henson,29,2TM,C,5.5,1.4,4.1,15
John Henson,29,CLE,C,5,1.5,3.9,14.2
John Henson,29,DET,C,6.9,1,4.4,17.1
Solomon Hill,28,2TM,PF,5.5,1.8,2.8,18.4
Solomon Hill,28,MEM,PF,5.7,2,3,18.8
Solomon Hill,28,MIA,PF,4.5,0.9,1.9,17
Alex Caruso,25,LAL,PG,5.5,1.9,1.9,18.4
Justin Jackson,24,DAL,PF,5.5,0.8,2.4,16.1
Dennis Smith Jr.,22,NYK,PG,5.5,2.9,2.3,15.8
Mo Bamba,21,ORL,C,5.4,0.7,4.9,14.2
Pat Connaughton,27,MIL,SG,5.4,1.6,4.2,18.6
Torrey Craig,29,DEN,SF,5.4,0.8,3.3,18.5
Robin Lopez,31,MIL,C,5.4,0.7,2.4,14.5
Garrison Mathews,23,WAS,SG,5.4,0.6,1.3,12.6
Luka Šamanić,20,SAS,PF,5.3,2,3.3,16
Juan Toscano-Anderson,26,GSW,SG,5.3,2,4,20.9
David Nwaba,27,BRK,SF,5.2,0.4,2.3,13.4
Robert Williams,22,BOS,C,5.2,0.9,4.4,13.4
Jerome Robinson,22,2TM,SG,5.1,1.4,2,15.5
Jerome Robinson,22,LAC,SG,2.9,1.1,1.4,11.3
Jerome Robinson,22,WAS,SG,9.4,2,3.3,24
Chris Chiozza,24,2TM,PG,5.1,3,1.9,14.3
Chris Chiozza,24,WAS,PG,2.7,2.8,1.5,12.3
Chris Chiozza,24,BRK,PG,6.4,3.1,2.1,15.4
Sterling Brown,24,MIL,SF,5.1,1,3.5,14.8
Quinn Cook,26,LAL,PG,5.1,1.1,1.2,11.5
Wayne Ellington,32,NYK,SG,5.1,1.2,1.8,15.5
